,검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
19,기후 변화,내용,2019-08-01,종료,6,일본의 코를 납작하게 해주자,2019.08.01,5,6,"현대의 기술력 으론  부속 부족으로   우리가 일본을 이길수가 없다  
하지만  일본의 코를  미래의 신기술로 일본의 코를    납작하게 해줄순 있다  
미래의  신기술을   만든다면  가능하다   
세계 과학자들도  절대로  불가능 하다는  무한동력 과   기후변화를  막아줄   기후조절장치를  
만들어    사하라사막에 설치할 경우  사막에 나무가 자라는 숲 으로  만들어  줄수 있고  
남극이나 북극에  설치한다면  빙하를 만들어 기후 변화를 막을수 있다 
이런 기계를 만들수는  있으나    특허청의  특허법을  고치기 전엔  대한민국에선  절대로 
만들수 없다   
얼마전에  물리학적으로  불가능한 것과  현대과학으로 가능한   서로 원라가 다른  두대의  
무한동력을  만들어갈테니   특허  검증을 해줄수 있냐고  물었더니  
특허청에서 하는말   여기는  그런것 취급 안하니  다른데 가서  알아보라함   
이게 말이여막걸리여 ~   왜 무한동력은  특허 등록도  검증도  해줄수 없단 건지  모르겠다 
그럼  물리학적으로  불가능한걸   검증ㅇ을 해줄수없다면   먼 훗날 미래에  UFO  를 만들었는데 
이것도 물리학적으로   불가능하다면   특허를 내줄수 없다는 말과 같다  
대한민국의 기초과학이 발전할려면  무엇이든  등록과  검증을 해주고   검증에서  강력하게 
검사해 통과를 안시켜 주면  돼는것 아닌가  
일본의 코를  납작 하게 해주길  바란다면  대한민국의  특허법을  고쳐야 한다 
 ",2019-08-01~2020-03-03,통신·과학>과학기술연구,,#미래의신기술 #특허법을고치자,
21,기후 변화,내용,2019-04-21,종료,1,시민 발언건,2019.04.21,1,1,"시민 의견 제안 민윈  궁금증?
시민 밀착형  시민발언건  희망하고
시민이 모르는 부분까지 알려주세요
물론 광범위 합니다
(예)서울시 정보 광장  콘테츠
각 부처별 관공서  및   은행 우체국  생활  밀접한  민윈 기타 등
얼마나 시민 의견 반영 검토  후  반영된까  궁금
새로운   법률 공포 제.개정  되면  또다시 행정절차법 있지만   또 시민의견 반영  할지
지방별 도시군면  전결  위임사항등  행정절차법 에 의거   처리되지만
시대적 세계적 환경 기후 변화 등  적재적소  처리 희망
멀고도 가까운 생활 법률
시민이 꼭 실천해야 법률상식  
법률 공포 관보 기재  신문 인테넷 열람  등
효력  발생기간 현재 20일 알고 있음
대중 매체 등 10일  단축 의견 제시 부탁합니다
보다 나은 국민 서비스  
 보다 나은 it개발
보다 나은 품질 개발
보다 나은  콘테츠 개발
감사합니다 ",2019-04-21~2020-03-03,통신·과학>과학기술제도,충청북도>청주시,#♡,
22,기후 변화,내용,2019-02-07,종료,8,"한국에너지 공단(KEA)입니다. 국민들이 공감할 수 있는 미션, 비전 수립을 위해 여러분들의 의견을 묻고자 합니다. 여러분들이 생각하는 한국에너지 공단의 미래상은 무엇인가요?",2019.02.07,11,8,"한국에너지공단(KEA)는 에너지효율성을 극대화하여 기후변화대응, 온실가스감축 등에 기여하는 다양한 업무들을 수행하고 있습니다.현재 한국에너지공단의 미션은 ""에너지효율과 신재생에너지 및 온실가스 감축으로 국가경제 발전과 국민복지 증진"" 비전은 ""고효율, 녹색, 저탄소 시대를 선도하는 에너지, 기후 변화대응 전문 기관"" 입니다.  국민과 함께 하는 한국에너지 공단이 되기 위해, 여러분들의 의견을 듣고자 합니다. 한국에너지 공단의 미래상은 어떤 것일까요?",2019-02-07~2020-03-03,일반공공행정>국민권익·인권,,#미래상 #비전 #한국에너지공단 #미션,
23,기후 변화,내용,2017-08-30,종료,10,"농촌진흥청의 노하우, 프렌차이즈 사업 어떤가요?",2017.08.30,16,10,"안녕하세요, 경기도거주/직장인/기혼/남성입니다.
저는, 스스로를 공공기관 빠돌이를 자처하며, 공공기관에서 나오는 여러 소식들을 찾아다니면서,
유용한 정보들이나 소식들을 접하는 데 상당 시간을 투자하고 있습니다. 물론 제가 IT 업종에서 일을 하면서, 인터넷을 하루종일 붙잡고 있는 사무직의 특성 때문에 가능한 일인지도 모르겠습니다.
그 여러, 공공기관에서 나오는 소식 중, 제일 좋아라 하는 기관을 꼽아보자면~ 바로 #농촌진흥청! 입니다.
왜? 먹을거리를 관리하는 기관이라는 거죠! 최근에는 지역로컬푸드직매장에서 진행한, 토종 모종과 씨앗 나눔 행사에도 다녀왔습니다. 물론 이 행사는 민간협회에서 진행한 행사이긴 하지만, 우리 소중한 먹거리에 대한 관심 등을 느껴볼 수 있는 행사였습니다.
이제부터, 본론을 시작하자면, 지극히 개인적이고 편협한 시각일 수도 있겠습니다만,
우리 농수산물에 대한 깊은 이해와 관리의 노하우 뿐만 아니라, 맛난 음식으로 만들어내는 레시피 또한 농수산물에 대한 정직한 이해를 갖고 있는 농촌진흥청이 프렌차이즈 형태의 요식업 사업을 진행한다면, 정말 믿을 수 있는 먹거리를 제 돈 주고 지불하는게 아깝지 않을 것임은 자명한 일입니다. 몇개월은 안되었지만, 농촌진흥청에서 운영하는 공식블로그 등의 소셜을 통해 소개되는 건강한 먹거리와 식재료, 음식 조리 방법 레시피 등등 뭣하나 소홀한 거 없이 알찬 정보들이 그득한데, 이런 내용들을 농촌진흥청에서 하나의 수익사업으로 발전시키면 어떨까 하는 생각입니다.
물론, 현재도 농수산물 부가가치 증대를 위한 농촌진흥청의 산학협력 기술연구 및 기술이전 결과가 민간 부문 및 사업 부분에 적극 활용되고 있는 줄은 압니다만 공공기관, 바로 농총진흥청의 이름으로 사업 모색의 길을 고려해 보았습니다. 더불어 프렌차이즈 사업 활성화를 위한 노하우는 농촌진흥청에서도 새로운 과제로 어려움은 있을 줄 압니다만, 긍정적인 방향으로 바라본다면 사업성 또한 여타 수익모델에 뒤지지 않을 기반은 갖추지 않았는가 합니다.
대한민국에 거주하며, 다양한 분야의 공공의 서비스 제공 받고 계시죠!
의료, 교육, 안전 등등 독불장군으로는 살기 어렵고, 공공의 서비스로부터 떨어져 살기 또한 어렵습니다.
반복되는 내용이지만, 농촌진흥청에서 해주는 요리~ 의심하지도, 질리지도 않고 먹을 수 있을 듯 합니다.
기후 변화, 식생활, 식습관, 미래식량 등의 이슈에 대한 전문 지식을 갖춘 농촌진흥청의 요식업 프렌차이즈 사업! 국민생각함 여러분의 의견이 궁금합니다.
(참조) 2017농업기술박람회 #북카페 http://www.rda.go.kr/act/pageU...",2017-08-30~2020-03-03,농림·해양·산림>농업·농촌,,#농촌진흥청,
24,기후 변화,내용,2017-08-02,종료,1,"조선산업 발전, 재생 에너지",2017.08.02,3,1,"-배경
1. 조선업 침체와 기술자 해고
2. 탈원전 시대의 재생 에너지 생산 방법
3. 근 해안 및 해상 기후, 태풍 진로 감시
4. 식수, 농업용수, 산업용수 부족
- 문제 원인
1. 세계 경제 침체-> 조선업계 불황-> 인력 감축 및 업계 파산-> 대규모 실업난
2. 탈원전을 위한 재생 에너지 발전 설비 부족과 설비 부지의 부재
3. 매년 태풍의 진로 부정확성으로 인한 대비 부족
4. 해상 기후 상태 감시망이 없어 대비 어려움
5. 환경문제로 인한 식수, 농업용수, 산업용수 부족으로 인한 수장원 고갈 현상
-대안
1. 폐선을 개조 또는 재건조하여 조력 발전, 태양열 발전 설비 선박 건조
- 상판: 태양열 발전 및 축전지 설치(에너지 저장)
- 중간 층: 바닷물 담수화 장치 설치하여 담수 만듬(태양열 발전에서 얻어진 전기와 열 사용)
- 하층: 바다의 조석 및 해류를 이용한 조력 발전기 설치(에너지 저장)
- 해양 기후 및 기상 감시 장치 또는 연구소 설치
- 위성 통신 및 휴대폰/데이터 중계장치 설치
- 응급 대피소 설치
2. 고정형과 운행용
- 고정용: 항상 같은 위치에 있으며 운행은 하지 않음. 근해안 및 해상용 
- 운행용: 일정한 영역을 이동, 원거리용 또는 수출용
- 기대 효과
1. 폐선 개,건조에 필요한 인력 필요-대형 선박은 충분한 인력이 필요함
2. 태풍 또는 급격한 해양 기후 변화에 응급 대피소 역할
3. 전파 중계장치로 원거리 해상에서도 휴대 전화 및 데이터 사용, 응급상황 전달 가능
4. 축전지를 이용 해안/섬 지역에 전기 직접 공급 가능
5. 담수를 해안/섬 지역에 직접 공급 가능
6. 다양한 해양 기후 정보를 파악할 수 있음
7. 장치 설비를 위한 토지 자원이 불필요함
8. 조선, 전기, 전자, 해양, 기상, 통신 등 다양한 인력이 필요하게 됨
9. 운행용으로 다른 나라에 에너지를 수출할 수 있음. 해당 나라에 가는 동안 에너지를  만들면서 가도 됨
10. 운행용으로 필요한 지역으로 이동하여 자원 공급 가능
- 검토사항
1. 폐선 개, 건조 비용과 장치 설치 비용과 에너지 생산량의 효율 비교
2. 관리 인력의 상주 또는 운전 인력의 필요",2017-08-02~2020-03-03,경제·산업·통상>에너지및자원개발,,#조선업 #재생에너지 #대체에너지 #탈원전,실질적인 대책 마련이 필요
25,기후 변화,내용,2015-04-30,종료,1,기후변화 대응 관련 GCF 개도국 사업모델 의견 수렴,2015.04.30,0,1,"녹색기후기금(Green Climate Fund; GCF)은 개도국의 기후변화 대응과 저탄소 성장을 지원하기 위해 설립된 새로운 국제 금융 기구입니다.
2010년 UN 기후변화협약총회에서 개도국의 온실 가스 감축 및 기후 변화 대응 동참을 위한 재정 지원 체계로서 GCF를 설립하는데 합의하였으며, GCF는 전세계 기후 재원의 상당 부분을 담당할 전망입니다.
2012년에 한국이 GCF 유치국가로 선정되었고, 2013년 12월 인천 송도에서 GCF 사무국이 출범하였습니다.
GCF는 그동안 운영체계를 확립하고 약 102억불의 초기재원을 조성하는 등 개도국 지원 사업을 위한 준비 단계에 있습니다. 정부는 GCF의 사업 수행에 선제적으로 대응하고자, 한국이 경쟁력을 보유한 분야를 중심으로 사업모델을 개발하고 향후 GCF와의 협력을 통해 개도국에서 사업 수행을 추진중입니다.
이에 기획재정부에서는 GCF가 개도국에서 수행할 수 있는 효과적인 기후변화 사업모델에 대한 국민 여러분의 아이디어를 듣고자 합니다. 특히, 민간 금융 기관이나 기업이 참여하여 기후 변화 대응 효과를 거두면서도 수익을 창출할 수 있는 사업모델 제안을 환영합니다. 아울러, 한국이 최초로 유치한 국제기구 본부인 GCF를 효과적으로 활용함으로써 국내 관련 산업 발전에도 기여할 수 있는 방안도 함께 고민하고자 합니다.
첨부한 GCF 경과 및 진행상황 파일을 참고하셔서 여러분이 생각하는 우수 사업모델과 GCF 활동방안에 대해 자유롭게 의견을 제시해주세요.",2015-05-05~2015-06-05,경제·산업·통상>기타,,,"온실가스 감축을 위한 각나라들과 개인이 꼭해야 할일들이 있는데 아무도 행동하지 않고 입으로만 토론회에서만 한는다는것이 문제인것 같습니다. 에너지 생산- 태양열 전기생산 지금이 할때임에도 활성화 되지는 않고 ▪교통-대중교통이용해야 함에도 1인 1자가용타고 다니는 사람이 너무 많습니다. ▪빌딩, 도시, 산업, 가전-대기오염, 중고물품의 활용율이 낮습니다. ▪임업 및 토지 이용-보조지구해제로 도로와 빌딩을 짓고 있는데.. 집은 그만짓고 토지 그대로 활용계획을 세워야 할때입니다."
26,기후 변화,내용,2014-07-23,종료,9,GCF 개도국 기후변화 사업모델 의견수렴,2014.07.23,0,9,"녹색기후기금(Green Climate Fund; GCF)은 개도국의 기후변화 대응과 저탄소 성장을 지원하기 위해 설립된 새로운 국제 금융 기구입니다.
2010년 UN 기후변화협약총회에서 개도국의 온실 가스 감축 및 기후 변화 대응 동참을 위한 재정 지원 체계로서 GCF를 설립하는데 합의하였으며, GCF
는 전세계 기후 재원의 상당 부분을 담당할 전망입니다.
2012년에 한국이 GCF 유치국가로 선정되었고, 2013년 12월 인천 송도에서 GCF 사무국이 출범하였습니다.
GCF는 그동안 운영체계를 확립하고 재원 조성 논의를 시작하는 등 개도국 지원 사업을 위한 준비 단계에 있습니다. 정부는 GCF의 사업 수행에 선제적
으로 대응하고자, 한국이 경쟁력을 보유한 분야를 중심으로 사업모델을 개발하고 향후 GCF
와의 협력을 통해 개도국에서 사업 수행을 추진중입니다.
이에 기획재정부에서는 GCF가 개도국에서 수행할 수 있는 효과적인 기후변화 사업모델에 대한 국민 여러분의 아이디어를 듣고자 합니다. 특히, 민간
금융 기관이나 기업이 참여하여 기후 변화 대응 효과를 거두면서도 수익을 창출할 수 있는
사업모델 제안을 환영합니다. 아울러, 한국이 최초로 유치한 국제기구 본부인 GCF를 효과적으로 활용함으로써 국내 관련 산업 발전에도 기여할 수 있
는 방안도 함께 고민하고자 합니다.
첨부한 GCF 경과 및 진행상황 파일을 참고하셔서 여러분이 생각하는 우수 사업모델과 GCF 활동방안에 대해 자유롭게 의견을 제시해주세요.",2014-07-24~2014-08-23,경제·산업·통상>기타,,,"향후, 녹색성장과 GCF의 미래는 기술혁신에 달려있다고 생각합니다. 다행히도 우리는 지난 정부에서 녹색성장을 추진하며 개발된 많은 R&D 기술이 있는 것으로 알고 있습니다. 이러한 우리의 우수한 녹색기술을 GCF 사업모델과 결합하는 것은 국내적으로나 국제적으로나 매우 큰 효과를 지닐 것이라고 생각합니다. 범부처가 협력하여 반드시 성공적인 사업모델을 개발하기를 기대하겠습니다.
각 나라별 국토 면적 대비 의무 녹지 면적 유지 비율을 할당합니다. 그리고 이 이상의 녹지를 개발하고자 하면, 다른 나라에 해당 할당치를 구입하는 방식을 도입하고 그걸 GCF가 주도적으로 하면 어떨까요? 탄소배출권거래제와 유사한 모양이지만요. 최근 들어 황사나 미세먼지가 우리나라뿐만 아니라 동아시아 전체에 끼치는 영향이 갈수록 심해지는데, 보다 토양 황폐화에 대한 적극적인 대응이 필요하다고 봅니다.
기후변화 대응은 늦을수록 그 피해는 기하급수적으로 늘어난다고 합니다. 특히, 피해가 기후변화 대응여력이 부족한 개도국 등에 집중될 것으로 예상된다고 하니 더 안타깝습니다. 선진국 문턱에 와있는 우리나라도 이제 우리만 잘 사는 문제만 신경쓸 것이 아니라 글로벌 문제해결에 기여하는 책임있는 역할을 해야 할 시점입니다. 특히, 우리가 강점이 있는 IT기술을 활용한 방법들도 고민해 볼 만하다고 생각합니다. 예를 들어, 기후변화로 인한 태풍 등의 예상 이동경로, 피해 현황을 실시간으로 전파하면 추가적인 인명피해를 줄일 수 있을것 같네요.
지구라는 하나밖에 없는 공유자원을 후세들에 안전하고 쾌적한 삶의 터전으로 물려주기 위해선 인류 문명이 가져다 주는 환경오염이란 부작용을 최소화할 수 있는 환경 기술개발이 중요하다 할 것입니다. 혹자는 인류의 무분별한 개발로 인해 지구환경이 심각하게 훼손되어 인류 멸망이란 시나리오까지 생각하는 사람도 있는 것 같은데 지성있는 인류는 그렇게 지구가 심각한 상황으로까지 치닫는 것을 허용치 않을 것이라고 봅니다. GCF는 거런 면에서 지구를 환경오염과 훼손으로 부터 자유롭게 해 줄 수 있는 지구 환경 수비대 역할을 할 것으로 생각됩니다. GCF를 통해서 환경분야 전문가를 양성해내고 환경기술을 발전시켜서 개발과 환경이 공존해 가면서 인류의 삶의 질을 향상시킬 수 있었으면 합니다. 환경오염과 관련된 환경 기초기술 개발에 진력하고 이를 산업과 연계시켜 새로운 성장의 발판이 될 수 있게 해야 할 것입니다. 환경과 관련된 업계(대부분 제조업계)에 환경기술개발연구소 같은 기구를 만들어서 전문적으로 환경오염을 저감시킬 수 있는 기술을 개발하는 연구를 심도있게 추진해야 한다고 봅니다.
기후변화에 대응하는 것은 인류의 미래에 대비하는 것이므로 백년대계가 아닌 백만년대계 또는 1억년대계를 세우는 마음으로 해야할 것입니다. 따라서 현실적인 수익성에 얽매이지않고 미래의 비전을 바라보는 미래학자들이 많이 참여하여 정책을 제시하고 의사결정에도 기여하는 방향으로 운영되었으면 하는 바램입니다. 좀 더디더라도 기후변화에 따른 인류의 미래가 어떻게 될것인지, GCF차원에서 참으로 진지하고 심도있는 논의가 진행되고 정책방향이 결정되기를 기원합니다. 영리성, 수익성을 고려하다보면 아무래도 근시안적인 마인드가 생길수밖에 없을테지요.
민간 금융 기관이나 기업이 참여하여 기후 변화 대응 효과를 거두면서도 수익을 창출할 수 있는 사업모델 제안과 함께 한국이 최초로 유치한 국제기구 본부인 GCF를 효과적으로 활용하고 국내 관련 산업 발전에도 기여할 수 있도록 추진해야 할것임.
우리기업이 개도국에 우수한 사업을 추진하고, 송도에도 신재생에너지분야 기업의 투자유치가 활성화되어, 녹색환경분야의 세계은행이라 할 수 있는 GCF가 더욱 발전할 수 있기를 바랍니다.
태풍, 온난화 등 전세계으로 심각한 기후 변화를 해결할 수 있는 GCF가 대한민국에 유치되어 대한민국의 국민 한사람으로서 자랑스럽습니다. 앞으로 GCF 사업모델에 한국의 우수 사업이 채택될 수 있도록 노력부탁드립니다.
태양광, 풍력, 폐기물처리, 오폐수 처리 등 한국의 신재생 에너지 및 환경분야 신기술을 홍보하여, GCF 자금을 활용 개도국에서 우리 기업이 선도적으로 수익을 창출 할 수 있었으면 합니다."
27,기후 변화,내용,2008-10-08,종료,10,산림청 공·사유림 매수 사업에 대하여?,2008.10.08,0,0,산림청에서 산림의 기술적이고 체계적인 경영관리를 도모하고 기후 변화협약에 대응한 탄소배출권 확보 등을 위한 산림확대 등 다양한 목적으로 국유림의 확대집단화 사업을 추진하고 있습니다. 이를 위해 진행하고 있는 공・사유림 매수 사업에 대하여 어떻게 생각하십니까?,2008-10-19~2008-10-31,교통 및 물류>기타,,,
28,﻿검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
29,기후변화,제목,2022-04-22,종료,0,기후변화주간 다짐 캠페인에 참여해주세요,2022.04.22,0,0,"서울시는 지구의 날을 기점으로 일주일간 기후변화주간 탄소중립 생할실천을 유도, 확산하기 위해
‘지구야, ______로 약속할게!’ 다짐 캠페인을 추진하고자 합니다.
서울은 감탄해 인스타그램( https://www.instagram.com/seoul_gamtan/ )에서 진행되며,
다짐캠페인 게시글에 지구를 위해 친환경행동 실천을 약속하는 댓글로 참여하실 수 있습니다.
(예시) 지구야, 개인컵 사용 약속할게! / 지구야, 1회용품 줄이기로 약속할게! 등등
지구를 위해 많은 참여 부탁드립니다.
 
 ",2022-04-22~2022-04-28,환경>자연환경,서울특별시,#기후 #지구,
30,기후변화,제목,2022-04-20,종료,1,[원주지방환경청] 지구의 날(기후변화주간) 인증사진 공모 이벤트,2022.04.20,0,0,"안녕하세요? 원주지방환경청에서는 2022년 4월 22일 지구의 날을 맞아 운영되는 기후변화주간동안
기후변화와 탄소중립을 알리고, 국민들과 함께 나누기 위한 실천사진 인증 공모 이벤트를 진행합니다.
실천 안내
      : 소등행사 4/22 저녁 8시, 채식식단, 잔반없는 날, 불필요한 이메일지우기 등 인증
사진 응모는 https://naver.me/FIp455rx 온라인 폼으로,
탄소중립 실천을 위한 의견 등은 국민생각함을 통해 남겨주세요.
감사합니다.
※ 이 이벤트는 원주지방환경청 페이스북, 블로그에서도 보실 수 있습니다.
    https://blog.naver.com/wonju__mev/222706720775",2022-04-20~2022-04-28,환경>기후·기상,,#원주지방환경청 #지구의날 #기후변화주간 #이벤트 #탄소중립 #녹색식단의날 #소등행사 #인증사진공모,
31,기후변화,제목,2022-03-22,종료,62,[청주기상지청] 지역교통방송 협업 기후변화 홍보에 대한 의견수렴,2022.03.22,5,0,"여러분이 알고 싶은 기후변화 주제를 직접 선택해 주세요!
청주기상지청에서는 대국민 기후변화 이해확산의 일환으로 지역 라디오방송국과 협업하여 기후변화에 대한 캠페인과 함께 퀴즈 이벤트를 진행할 예정입니다.
이와 관련하여 국민 여러분이 궁금해하시는 기후변화 주제를 파악하여 홍보 프로그램 운영에 활용하려고 합니다.
소중한 의견을 부탁드리며, 소중한 시간 내주셔서 고맙습니다.
 ",2022-03-23~2022-03-29,환경>기후·기상,충청북도>청주시,#기후변화 #홍보 #탄소중립,
32,기후변화,제목,2022-01-28,종료,5,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 설문 조사",2022.03.18,0,5,"'기후변화로 2050년, 2100년에는 우리의 일상생활이 어떻게 바뀔까요?' 
설문조가 결과를 정리하였습니다. 
주요 개선 방향으로 
대국민 설문조사(’22.2.) 결과를 반영하여, 국민체감도 높은 영향정보에 우선순위를 두어 관계부처·유관기관 협력, 전문가 자문을 통한 정보 수집·분석 및 제공 예정입니다. 
 - 사회·경제·문화는 주로 일상생활과 관련된 국민체감도가 높은 부문으로 우선순위를 두어, 국내외 자료조사, 용역사업 연계 등을 통해 추진
 - 환경생태, 방재, 해양수산, 농업축산, 보건, 산업에너지 부문은 관계부처 및 유관기관 협력을 통해 부문별 영향정보 서비스 확대
  < 설문 조사 결과 >
○ 목적: 새로운 기후변화 시나리오 발표(’21.12.)와 연계, 미래(2050년/2100년)에 나타날 변화에 관한 국민관심사 조사를 통한 기후변화 영향정보 발굴
○ 기간/방법: ’22.1.28.~2.13. / 기상청홈페이지, 기후정보포털, 국민생각함
○ 참여자: 총 757명
○ 분석방법: 답변 키워드를 중심으로 8개 대부문, 72개 소분야로 분류
○ 주요 결과(붙임)
- 8개 부문별 관심도: 기상기후 25%, 사회경제문화 20%로 높게 나타남
※ 기상기후(25%)>사회경제문화(20%)>환경생태(15%)>방재(12%)>해양수산(9%)>농업축산(7%)>보건(6%)>산업에너지(5%)
 
-------------------------------------<설문 조사시, 안내문>---------------------------------------
기후변화로 인한 영향이 먼미래, 먼나라의 이야기가 아닌
우리나라, 우리 일상생활에서 느낄 수 있게 되었습니다.
 
특히, 사계절이 뚜렷한 우리나라의 계절길이에 변화가 생겼는데요.
지난 109년간 관측자료로 분석한 결과, 여름은 길어지고 겨울은 짧아지고 있습니다.
미래에도 이러한 경향은 계속되어, 현재 추세대로 온실가스를 배출한다면,
21세기 후반에는 1년의 거의 절반이 여름이 되고, 겨울은 두 달 정도 될 것이라고 전망됩니다.
 
이 외에도, 기상청에서는 앞으로 폭염이나 열대야, 한파나 집중호우와 같은
우리가 생활하기 힘든 극한기후현상들이 얼마나 자주, 더욱 강하게 나타날지에 관한 정보도
기후정보포털(www.climate.go.kr)을 통해 제공하고 있습니다.
 
조금 더 나아가, 여러분이 앞으로 기후변화로 인해 어떤 현상들이 나타날지,
우리의 일상생활이 어떻게 바뀔지 궁금하신 점이 있으실텐데요.
(예를 들면, 내가 사는 곳의 재난·재해, 먹고 입는 것, 캠핑·꽃구경·등산·축제와
같은 여행이나 취미생활, 그리고 직업과 관련된 것들의 변화 등)
 
과연 지금으로부터 30년 후인, 2050년 그리고 우리의 후세들이 살아갈
2100년에는 기후변화가 우리의 생활에 미치는 영향과 관련하여
어떤 변화들이 나타날지 궁금하신 점을 자유롭게 기술해 주세요.
 
아래의 여러 예시들을 참고해 보시면서, 
앞으로 우리의 미래가 어떻게 바뀔지 상상도 해보시고, 궁금한 점도 알려주시기 바랍니다.
여러분이 주신 궁금증을 토대로,
기상청에서 기후변화 관련 정보를 제공하고자 하오니 많은 참여 부탁드립니다.
 
소중한 답변을 남겨주신 분께는 추첨을 통해 소정의 선물을 드리도록 하겠습니다.
 
◈ (예시) 2050년, 2100년에는 어떤 변화가 나타날까요? ◈
- 옛날에는 한강에서 썰매를 탈 수 있었는데 요즘은 한강이 얼지 않아서 썰매를 탈 수 없어요.
  앞으로 한강에서 썰매를 탈 수 있을까요?
- 바닷물 높이가 계속 올라가고 있다고 하는데,
  2100년이 되면 한강 근처에 있는 인천, 김포, 부천 등에서 침수범람으로 피해를 입지 않을까요?
- 앞으로 집중호우로 비가 많이 내리면 댐이나 저수지 주변에 수위가 변하는 등
  어떤 변화가 있을까요?
- 기온이 높아지면 아열대기후에서 나타나는 새로운 질병이 생기지 않을까요?
  현재 우리가 겪고 있는 질병이 나타나는 지역은 어떻게 달라질까요?
- 기후변화로 대기오염이 심해지면 천식과 아토피 등 질병이 많이 발생하지 않을까요?
- 지구온난화로 기온이 높아지면
  우리나라 산과 바다에 있는 동식물도 큰 변화를 겪을 수 있을텐데,
  2100년에 우리나라 사람들의 식탁에 올라 올 음식은 어떻게 바뀔까요?
- 기후변화로 우리의 근무환경도 변화가 있을 것 같은데,
  기온이 오르고 열스트레스를 받으면 야외 노동자가 줄고, 근무시간도 바뀌지 않을까요?
- 겨울철 레저 활동으로 스키를 자주 타러 가는데 스키 탈 수 있는 날이 얼마나 줄어들까요?
  그리고 스키 탈 수 있는 지역도 바뀔까요?
- 여름 휴가철 해수욕장 이용을 많이 하는데, 바닷물 높이가 계속 올라가면
  해수욕장이나 갯벌이 줄어들고, 바닷가 주변 관광시설에 변화가 있지 않을까요?
- 우리나라도 서핑 인구가 해마다 늘고 있는 추세인데
  우리나라에서 서핑을 즐기기에 적합한 바닷가가 늘어날까요?",2022-03-18~2022-04-01,환경>기후·기상 (주제토론>정책/제도연구),,#기후변화 #영향정보,
